,url
0,https://ga-dev-tools.appspot.com/
1,https://www.greatlearning.in/pg-program-big-data-analytics/
2,http://strategyonline.ca/2017/05/26/up-to-the-minute-nationals-new-director-of-analytics/
3,https://www.analyticsvidhya.com/blog/
4,https://piwik.org/
5,https://www.ibm.com/analytics/us/en/
6,http://www.aureusanalytics.com/
7,https://www.analytixlabs.co.in/student/login
8,https://www.sap.com/india/products/analytics.html
9,https://www.greatlearning.in/great-lakes-pgpba/
10,https://www.analyticsvidhya.com/
11,http://www.csoonline.com/article/3195922/data-breach/is-edge-analytics-the-front-line-of-cybersecurity.html
12,https://www.cognizant.com/enterprise-analytics
13,https://analytics.facebook.com/
14,https://www.sas.com/en_us/insights/analytics.html
15,http://analyticsindiamag.com/
16,http://www.perceptive-analytics.com/ba/
17,http://www.digitalvidya.com/data-analytics-course/
18,https://moz.com/blog/category/analytics
19,http://www.cio.com/article/3198471/big-data/3-reasons-big-data-analytics-goes-wrong.html
20,http://analytics-magazine.org/
21,https://www.blackboard.com/education-analytics/index.aspx
22,http://www.dictionary.com/browse/analytics
23,http://www.adobe.com/in/marketing-cloud/web-analytics/marketing-analytics-capabilities.html
24,https://analytics.twitter.com/
25,https://analytics.pinterest.com/
26,http://analyticscanvas.com/
27,https://www.youtube.com/user/googleanalytics
28,https://upgrad.com/data-analytics/
29,https://search.usaajobs.com/us/en-us/find/Data-Analytics/XjfP-jf832
30,https://docs.microsoft.com/en-us/azure/application-insights/app-insights-analytics-reference
31,https://www.iiitb.ac.in/programs.php?pid=PG-Diploma---Data-Analytics
32,http://www.businessdictionary.com/definition/analytics.html
33,https://www.spjain.org/programs/professional/bigdata
34,https://en.wikipedia.org/wiki/Analytics
35,http://www.equifax.in/analytics
36,https://www.salesforce.com/products/analytics-cloud/overview/
37,http://www.nanobi.in/
38,http://connect.informs.org/analytics/home
39,http://www.analyticsindiasummit.com/
40,https://www.edx.org/micromasters/analytics-essential-tools-methods
41,http://social-innovation.hitachi/au/solutions/analytics/
42,https://www.digitalgov.gov/services/dap/
43,https://itunes.apple.com/us/app/google-analytics/id881599038?mt=8
44,https://www.naukri.com/analytics-jobs
45,http://www.analyticsedge.com/
46,http://www.mckinsey.com/business-functions/mckinsey-analytics/how-we-help-clients
47,https://www.typeform.com/help/google-analytics-and-tracking/
48,https://www.cloudflare.com/analytics/
