,url
0,http://www.thehindu.com/news/national/other-states/bjp-is-a-party-of-bahujans-now-says-ramdas-athawale/article18590374.ece
1,http://www.ndtv.com/india-news/saharanpurs-rajputs-warn-the-bjp-give-us-justice-or-lose-our-votes-1704703
2,http://economictimes.indiatimes.com/news/politics-and-nation/view-bjps-dalit-outreach-under-threat/articleshow/58867685.cms
3,https://twitter.com/bjp4keralam
4,http://www.dailyo.in/tag/bjp/1/545.html
5,http://www.hindustantimes.com/india-news/saharanpur-caste-violence-eye-on-local-polls-bjp-walks-the-tightrope-between-dalits-and-thakurs/story-ztDkdgW2neVsLVL1SWOaDJ.html
6,http://hindi.oneindia.com/topic/bjp
7,http://www.thehindubusinessline.com/news/national/nonbjp-parties-in-kerala-fume-over-new-cattle-slaughter-rules/article9713537.ece
8,http://www.elections.in/uttar-pradesh/assembly-constituencies/bjp-candidate-list.html
9,https://www.telegraphindia.com/1170527/jsp/bengal/story_153742.jsp
10,http://www.sundayguardianlive.com/news/9565-kcr-will-back-bjp-prez-election
11,https://www.thequint.com/india/2017/05/27/maharashtra-civic-body-poll-results-bhiwandi-malegaon-bjp-congress
12,http://www.business-standard.com/search?type=news&q=Bjp
13,https://www.mirchi9.com/politics/bjp-looks-at-chandrababu-naidu-the-troubleshooter/
14,http://bjpdelhi.org/
15,http://www.sunhydraulics.com/model/BJP
16,http://www.bjpkarnataka.org/
17,http://university.apeejay.edu/index.php/blog-engineering-technology/how-bjp-used-technology-to-reach-the-grassroots-and-win-polls
18,http://www.amarujala.com/tags/bjp
19,http://indianexpress.com/article/opinion/columns/why-the-bjp-must-fear-its-own-fringe-rss-narendra-modi-4673807/
20,https://twitter.com/bjp4india?lang=en
21,http://www.bjpbreakthrough.com/
22,http://www.bjp.org/
23,http://www.thecitizen.in/index.php/NewsDetail/index/1/2029/WHY-THE-OWAISI-BROTHERS-CAN-ONLY-HELP-THE-BJP
24,https://www.facebook.com/BJP4India/
25,http://www.livemint.com/Search/Link/Keyword/BJP
26,http://zeenews.india.com/tags/bjp.html
27,http://indiatoday.intoday.in/story/capt-amarinder-singh-punjab-congress-bjp-hindutva-ideology/1/964184.html
28,http://www.news18.com/newstopics/bjp.html
29,http://www.jagran.com/search/bjp
30,https://en.wikipedia.org/wiki/Bharatiya_Janata_Party
31,http://fortuneindia.com/topic/bjp
32,https://www.youtube.com/user/BJP4India
33,https://www.altnews.in/tag/bjp/
34,http://www.aninews.in/keysearch/keyword-search/bjp.html
35,http://indiatoday.intoday.in/story/bjp-kerala-kummanam-rajashekharan-kerala-youth-congress-cow-slaughter/1/964731.html
36,http://www.rajnikantvscidjokes.in/unlike-no-ban-cow-slaughter-northeast-bjp-comes-power-next-year/
37,http://www.dnaindia.com/india/report-bjp-states-splurging-taxpayers-money-on-govt-s-3rd-anniv-ads-2453237
38,http://www.narendramodi.in/tag/bjp
39,https://twitter.com/bjp4india
40,http://www.bjp-online.com/
41,http://www.firstpost.com/politics/maharashtra-civic-polls-results-2017-bjp-congress-have-a-lot-to-cheer-about-while-regional-parties-lose-dominance-3484985.html
42,http://physicalculture.com.au/results/
43,http://www.rediff.com/news/interview/bjp-wants-to-take-us-back-to-the-19th-century/20170527.htm
44,http://www.epw.in/tags/bjp
45,http://abpnews.abplive.in/india-news/muzaffarnagar-allahabad-high-court-notice-to-meerapur-bjp-mla-avtar-singh-bhadana-624675
46,http://www.timesnow.tv/india/video/amit-shar-narendra-modi-bjp-government-three-years-completion/61769
47,https://scroll.in/article/838794/three-years-of-bjp-of-the-13523-villages-electrified-only-8-have-power-in-all-homes
48,http://www.deccanchronicle.com/nation/politics/280517/k-chandrasekhar-rao-trs-to-win-111-seats-bjp-0.html
49,http://www.moneycontrol.com/news/politics/bjp3-seven-years-more-here-are-seven-ways-for-the-bjp-to-stay-ahead-2288881.html
50,http://timesofindia.indiatimes.com/topic/bharatiya-janata-party
51,https://thewire.in/tag/bjp/
